"userId","trialNumber","stimulus","reactionTime","knocked","correct","scoreChange","newScore","timestamp","slot","week","incongruency","block","accuracy","pav","rt","HL"
23871,128,1,1782,1,1,0,700,"2025-04-06 7:03:46","1sun1go",1,"go","2",TRUE,"PC",1.782,"HTA"
23871,125,2,1240,1,1,50,650,"2025-04-06 7:03:35","1sun1go",1,"go","2",TRUE,"PI",1.24,"HTA"
23871,148,3,0,0,1,0,800,"2025-04-06 7:05:11","1sun1go",1,"go","2",TRUE,"PC",0,"HTA"
23871,149,3,0,0,1,0,800,"2025-04-06 7:05:17","1sun1go",1,"go","2",TRUE,"PC",0,"HTA"
23871,150,2,2692,1,1,0,800,"2025-04-06 7:05:22","1sun1go",1,"go","2",TRUE,"PI",2.692,"HTA"
23871,151,4,1900,1,0,-50,750,"2025-04-06 7:05:26","1sun1go",1,"go","2",FALSE,"PI",1.9,"HTA"
23871,126,2,1341,1,1,50,700,"2025-04-06 7:03:38","1sun1go",1,"go","2",TRUE,"PI",1.341,"HTA"
23871,127,2,1620,1,1,0,700,"2025-04-06 7:03:42","1sun1go",1,"go","2",TRUE,"PI",1.62,"HTA"
23871,141,2,891,1,1,0,750,"2025-04-06 7:04:44","1sun1go",1,"go","2",TRUE,"PI",0.891,"HTA"
23871,142,2,961,1,1,0,750,"2025-04-06 7:04:47","1sun1go",1,"go","2",TRUE,"PI",0.961,"HTA"
23871,143,1,1241,1,1,50,800,"2025-04-06 7:04:50","1sun1go",1,"go","2",TRUE,"PC",1.241,"HTA"
23871,144,4,2541,1,0,-50,750,"2025-04-06 7:04:54","1sun1go",1,"go","2",FALSE,"PI",2.541,"HTA"
23871,145,2,3061,1,1,0,750,"2025-04-06 7:04:59","1sun1go",1,"go","2",TRUE,"PI",3.061,"HTA"
23871,161,4,1681,1,0,0,950,"2025-04-06 7:05:58","1sun1go",1,"go","2",FALSE,"PI",1.681,"HTA"
23871,162,2,732,1,1,0,950,"2025-04-06 7:06:01","1sun1go",1,"go","2",TRUE,"PI",0.732,"HTA"
23871,163,2,521,1,1,0,950,"2025-04-06 7:06:03","1sun1go",1,"go","2",TRUE,"PI",0.521,"HTA"
23871,164,4,0,0,1,50,1000,"2025-04-06 7:06:10","1sun1go",1,"go","2",TRUE,"PI",0,"HTA"
23871,165,4,0,0,1,0,1000,"2025-04-06 7:06:16","1sun1go",1,"go","2",TRUE,"PI",0,"HTA"
23871,166,1,850,1,1,50,1050,"2025-04-06 7:06:18","1sun1go",1,"go","2",TRUE,"PC",0.85,"HTA"
23871,167,1,1122,1,1,50,1100,"2025-04-06 7:06:22","1sun1go",1,"go","2",TRUE,"PC",1.122,"HTA"
23871,168,4,0,0,1,50,1150,"2025-04-06 7:06:28","1sun1go",1,"go","2",TRUE,"PI",0,"HTA"
23871,169,2,1751,1,1,0,1150,"2025-04-06 7:06:31","1sun1go",1,"go","2",TRUE,"PI",1.751,"HTA"
23871,170,3,0,0,1,50,1200,"2025-04-06 7:06:37","1sun1go",1,"go","2",TRUE,"PC",0,"HTA"
23871,171,4,0,0,1,0,1200,"2025-04-06 7:06:43","1sun1go",1,"go","2",TRUE,"PI",0,"HTA"
23871,172,4,0,0,1,50,1250,"2025-04-06 7:06:49","1sun1go",1,"go","2",TRUE,"PI",0,"HTA"
23871,173,2,1161,1,1,0,1250,"2025-04-06 7:06:53","1sun1go",1,"go","2",TRUE,"PI",1.161,"HTA"
23871,174,4,0,0,1,50,1300,"2025-04-06 7:06:59","1sun1go",1,"go","2",TRUE,"PI",0,"HTA"
23871,175,4,0,0,1,50,1350,"2025-04-06 7:07:05","1sun1go",1,"go","2",TRUE,"PI",0,"HTA"
23871,176,1,1761,1,1,50,1400,"2025-04-06 7:07:08","1sun1go",1,"go","2",TRUE,"PC",1.761,"HTA"
23871,177,3,0,0,1,0,1400,"2025-04-06 7:07:14","1sun1go",1,"go","2",TRUE,"PC",0,"HTA"
23871,178,2,1821,1,1,50,1450,"2025-04-06 7:07:18","1sun1go",1,"go","2",TRUE,"PI",1.821,"HTA"
23871,179,3,0,0,1,0,1450,"2025-04-06 7:07:24","1sun1go",1,"go","2",TRUE,"PC",0,"HTA"
23871,180,4,0,0,1,50,1500,"2025-04-06 7:07:30","1sun1go",1,"go","2",TRUE,"PI",0,"HTA"
23871,181,1,1481,1,1,50,1550,"2025-04-06 7:07:34","1sun1go",1,"go","2",TRUE,"PC",1.481,"HTA"
23871,182,2,1971,1,1,0,1550,"2025-04-06 7:07:38","1sun1go",1,"go","2",TRUE,"PI",1.971,"HTA"
23871,183,4,0,0,1,50,1600,"2025-04-06 7:07:44","1sun1go",1,"go","2",TRUE,"PI",0,"HTA"
23871,184,4,0,0,1,50,1650,"2025-04-06 7:07:50","1sun1go",1,"go","2",TRUE,"PI",0,"HTA"
23871,185,2,1522,1,1,0,1650,"2025-04-06 7:07:53","1sun1go",1,"go","2",TRUE,"PI",1.522,"HTA"
23871,186,4,0,0,1,50,1700,"2025-04-06 7:07:59","1sun1go",1,"go","2",TRUE,"PI",0,"HTA"
23871,187,4,0,0,1,50,1750,"2025-04-06 7:08:05","1sun1go",1,"go","2",TRUE,"PI",0,"HTA"
23871,146,2,870,1,1,50,800,"2025-04-06 7:05:02","1sun1go",1,"go","2",TRUE,"PI",0.87,"HTA"
23871,147,2,951,1,1,0,800,"2025-04-06 7:05:05","1sun1go",1,"go","2",TRUE,"PI",0.951,"HTA"
